id,operator,group,ref_class,map_class,ref_code,map_code
275,karel88,3,Eau,Eau,4,4
426,lillteddy,5,Eau,NF,4,2
383,Cherubins,4,Eau,Eau,4,4
192,josney,2,Eau,Eau,4,4
400,Cherubins,4,Eau,Eau,4,4
900,jeannette_kenovh,9,Eau,Eau,4,4
90,karel88,1,Eau,Eau,4,4
37,karel88,1,Eau,Eau,4,4
109,josney,2,Eau,Eau,4,4
361,Cherubins,4,Eau,Eau,4,4
670,gisele,7,Eau,Eau,4,4
200,josney,2,Eau,Eau,4,4
54,karel88,1,Eau,Eau,4,4
638,gisele,7,Eau,Eau,4,4
727,leslie,8,Eau,Eau,4,4
514,carine,6,Eau,Eau,4,4
326,Cherubins,4,Eau,Eau,4,4
628,gisele,7,Eau,Eau,4,4
805,leslie,8,Eau,Eau,4,4
461,lillteddy,5,Eau,Eau,4,4
854,jeannette_kenovh,9,Eau,Eau,4,4
490,lillteddy,5,Eau,Eau,4,4
454,lillteddy,5,Eau,Eau,4,4
851,jeannette_kenovh,9,Eau,Eau,4,4
863,jeannette_kenovh,9,Eau,Eau,4,4
198,josney,2,Eau,Eau,4,4
810,jeannette_kenovh,9,Eau,Eau,4,4
718,leslie,8,Eau,Eau,4,4
445,lillteddy,5,Eau,Eau,4,4
538,carine,6,Eau,Eau,4,4
286,karel88,3,Eau,Eau,4,4
487,lillteddy,5,Fm,Fm,13,13
121,josney,2,Fm,Fm,13,13
804,leslie,8,Fm,Fm,13,13
77,karel88,1,Fm,Eau,13,4
714,leslie,8,Fm,Fm,13,13
631,gisele,7,Fm,Fm,13,13
770,leslie,8,Fm,NF,13,2
485,lillteddy,5,Fm,Fm,13,13
666,gisele,7,Fm,Fm,13,13
677,Cherubins,7,Fm,Fp,13,11
600,lillteddy,6,Fm,Fm,13,13
695,Cherubins,7,Fm,Eau,13,4
23,karel88,1,Fm,Fm,13,13
88,karel88,1,Fm,Fm,13,13
516,carine,6,Fm,Fm,13,13
757,leslie,8,Fm,Fm,13,13
764,lillteddy,8,Fm,Fp,13,11
793,leslie,8,Fm,Fp,13,11
513,carine,6,Fm,Fm,13,13
722,leslie,8,Fm,Fm,13,13
32,karel88,1,Fm,Fm,13,13
765,lillteddy,8,Fm,Fm,13,13
518,carine,6,Fm,Fm,13,13
91,karel88,1,Fm,Fp,13,11
592,lillteddy,6,Fm,Fm,13,13
796,leslie,8,Fm,Fm,13,13
762,leslie,8,Fm,Fp,13,11
630,gisele,7,Fm,Eau,13,4
773,leslie,8,Fm,Fm,13,13
341,Cherubins,4,Fm,Fm,13,13
437,lillteddy,5,Fm,Fp,13,11
707,gisele,7,Fm,Fm,13,13
573,carine,6,Fm,Fm,13,13
604,lillteddy,6,Fm,Fs,13,12
153,josney,2,Fm,Fm,13,13
70,karel88,1,Fm,Fm,13,13
265,karel88,3,Fm,Fp,13,11
746,leslie,8,Fm,Fm,13,13
276,karel88,3,Fm,Fm,13,13
337,Cherubins,4,Fm,Fm,13,13
787,leslie,8,Fm,Fs,13,12
463,lillteddy,5,Fm,Fp,13,11
281,karel88,3,Fm,Fs,13,12
721,leslie,8,Fm,Fm,13,13
114,josney,2,Fm,Fp,13,11
808,leslie,8,Fm,Fm,13,13
73,karel88,1,Fm,Fm,13,13
428,lillteddy,5,Fm,Fm,13,13
791,leslie,8,Fm,Fm,13,13
738,leslie,8,Fm,Fp,13,11
351,Cherubins,4,Fm,NF,13,2
20,karel88,1,Fm,Fm,13,13
803,leslie,8,Fm,Fp,13,11
607,gisele,7,Fm,Fp,13,11
563,carine,6,Fm,Fm,13,13
33,karel88,1,Fm,NF,13,2
366,Cherubins,4,Fm,Fm,13,13
355,Cherubins,4,Fm,Fm,13,13
184,josney,2,Fm,Fm,13,13
360,Cherubins,4,Fm,Eau,13,4
774,leslie,8,Fm,Fm,13,13
78,karel88,1,Fm,Eau,13,4
619,leslie,7,Fm,Fm,13,13
550,carine,6,Fm,Fm,13,13
368,Cherubins,4,Fm,Fm,13,13
177,josney,2,Fm,Fm,13,13
329,Cherubins,4,Fp,Fp,11,11
537,carine,6,Fp,Fp,11,11
223,Precieux,3,Fp,Fp,11,11
216,Precieux,3,Fp,NF,11,2
758,leslie,8,Fp,Fp,11,11
673,gisele,7,Fp,Fp,11,11
450,lillteddy,5,Fp,Fp,11,11
163,josney,2,Fp,Fp,11,11
620,leslie,7,Fp,Fp,11,11
568,carine,6,Fp,Fp,11,11
173,josney,2,Fp,Fp,11,11
801,leslie,8,Fp,Fp,11,11
293,karel88,3,Fp,Fp,11,11
627,gisele,7,Fp,Fp,11,11
201,josney,2,Fp,Fp,11,11
138,josney,2,Fp,Fp,11,11
807,leslie,8,Fp,Fp,11,11
553,carine,6,Fp,Fp,11,11
342,Cherubins,4,Fp,Fp,11,11
239,Precieux,3,Fp,NF,11,2
577,carine,6,Fp,Fp,11,11
780,leslie,8,Fp,Fp,11,11
324,Cherubins,4,Fp,Fp,11,11
167,josney,2,Fp,Fs,11,12
771,leslie,8,Fp,Fp,11,11
48,karel88,1,Fp,Fp,11,11
381,Cherubins,4,Fp,Fp,11,11
162,josney,2,Fp,Fp,11,11
328,Cherubins,4,Fp,Fp,11,11
576,carine,6,Fp,Fm,11,13
325,Cherubins,4,Fp,NF,11,2
100,karel88,1,Fp,Fp,11,11
304,Cherubins,4,Fp,NF,11,2
494,lillteddy,5,Fp,Fp,11,11
126,josney,2,Fp,Fp,11,11
838,jeannette_kenovh,9,Fp,Fp,11,11
61,karel88,1,Fp,Fp,11,11
213,Precieux,3,Fp,Fp,11,11
261,karel88,3,Fp,Fp,11,11
354,Cherubins,4,Fp,Fp,11,11
